#ThreadID Size Duration #authors #distinctLinks
0 1 0.000000 2 1
1 1 0.000000 2 1
5 1 0.000000 2 1
6 1 0.000000 2 1
7 1 0.000000 2 1
8 2 2982.000000 3 2
10 3 41677.000000 2 1
17 1 0.000000 2 1
21 2 9236.000000 3 2
22 5 288263.000000 6 5
23 1 0.000000 2 1
24 3 126954.000000 4 3
25 1 0.000000 2 1
28 8 6066.000000 4 4
32 1 0.000000 2 1
33 1 0.000000 2 1
37 7 151916.000000 8 7
41 2 46159.000000 3 2
44 1 0.000000 2 1
45 1 0.000000 2 1
49 1 0.000000 2 1
50 6 445749.000000 6 5
51 3 251962.000000 4 3
53 3 870418.000000 2 1
55 1 0.000000 2 1
59 4 233529.000000 5 4
60 1 0.000000 2 1
62 1 0.000000 2 1
64 2 26378.000000 3 2
66 2 1888.000000 3 2
67 1 0.000000 2 1
68 1 0.000000 2 1
69 1 0.000000 2 1
73 2 87158.000000 3 2
74 1 0.000000 2 1
75 1 0.000000 2 1
76 5 387523.000000 4 3
82 22 87706.000000 16 20
83 1 0.000000 2 1
84 11 141110.000000 8 9
85 3 104268.000000 4 3
90 3 172279.000000 3 2
91 8 79986.000000 4 4
96 3 32000.000000 4 3
98 4 69188.000000 3 2
100 1 0.000000 2 1
107 2 2935.000000 3 2
109 1 0.000000 2 1
112 1 0.000000 2 1
115 2 348.000000 3 2
116 3 308599.000000 4 3
117 1 0.000000 2 1
118 3 11329.000000 3 2
120 1 0.000000 2 1
121 2 116211.000000 3 2
125 3 366776.000000 3 2
127 4 46640.000000 4 4
128 1 0.000000 2 1
130 1 0.000000 2 1
132 1 0.000000 2 1
134 22 413835.000000 8 8
139 7 180795.000000 5 5
144 4 46931.000000 4 3
146 1 0.000000 2 1
148 1 0.000000 2 1
150 2 19006.000000 3 2
151 16 308349.000000 13 14
152 1 0.000000 2 1
153 2 78898.000000 3 2
154 2 70391.000000 3 2
157 2 39729.000000 3 2
161 1 0.000000 2 1
163 2 221286.000000 3 2
165 1 0.000000 2 1
168 1 0.000000 2 1
172 5 97581.000000 5 4
173 1 0.000000 2 1
176 3 4215.000000 3 2
178 6 8619.000000 3 2
180 1 0.000000 2 1
181 2 275535.000000 3 2
184 1 0.000000 2 1
186 2 1648.000000 2 1
187 2 51639.000000 3 2
190 1 0.000000 2 1
191 2 22541.000000 3 2
192 1 0.000000 2 1
194 1 0.000000 2 1
196 2 195685.000000 3 2
197 6 61194.000000 4 3
202 1 0.000000 2 1
205 4 18192.000000 4 3
208 1 0.000000 2 1
210 1 0.000000 2 1
218 1 0.000000 2 1
220 8 495115.000000 7 6
225 5 171134.000000 4 3
232 2 314401.000000 3 2
234 2 58210.000000 3 2
235 1 0.000000 2 1
236 1 0.000000 2 1
237 6 82625.000000 5 4
238 3 47574.000000 3 2
239 1 0.000000 2 1
241 1 0.000000 2 1
242 7 27361.000000 6 5
243 7 7094.000000 8 7
247 1 0.000000 2 1
248 1 0.000000 2 1
251 1 0.000000 2 1
256 1 0.000000 2 1
260 1 0.000000 2 1
265 1 0.000000 2 1
267 4 34651.000000 4 3
269 1 0.000000 2 1
271 1 0.000000 2 1
272 4 3008.000000 4 3
275 1 0.000000 2 1
277 2 113679.000000 3 2
278 1 0.000000 2 1
280 1 0.000000 2 1
283 1 0.000000 2 1
287 2 7823.000000 3 2
289 2 4231.000000 3 2
290 1 0.000000 2 1
293 1 0.000000 2 1
294 2 824.000000 3 2
298 1 0.000000 2 1
299 3 70305.000000 3 2
300 1 0.000000 2 1
301 2 861.000000 3 2
302 1 0.000000 2 1
303 2 9404.000000 3 2
305 1 0.000000 2 1
306 1 0.000000 2 1
307 1 0.000000 2 1
309 2 154546.000000 2 1
311 4 21064.000000 4 3
312 1 0.000000 2 1
314 3 201757.000000 2 1
315 8 110659.000000 8 8
316 2 77691.000000 3 2
317 1 0.000000 2 1
318 1 0.000000 2 1
322 1 0.000000 2 1
323 1 0.000000 2 1
324 5 128735.000000 3 2
328 2 7635.000000 2 1
329 2 33503.000000 3 2
330 1 0.000000 2 1
332 2 84748.000000 2 1
333 1 0.000000 2 1
335 15 119184.000000 11 13
338 9 149290.000000 8 8
340 9 59745.000000 4 3
343 4 76937.000000 4 3
344 2 10931.000000 3 2
345 6 133715.000000 5 4
346 3 1548.000000 4 3
347 2 71813.000000 3 2
352 1 0.000000 2 1
354 1 0.000000 2 1
355 1 0.000000 2 1
356 1 0.000000 2 1
359 2 2239.000000 3 2
360 1 0.000000 2 1
362 2 527139.000000 3 2
367 1 0.000000 2 1
370 1 0.000000 2 1
371 1 0.000000 2 1
372 9 31280.000000 5 5
